站名,莘庄,外环路,莲花路,锦江乐园,上海南站,漕宝路,上海体育馆,徐家汇,衡山路,常熟路,陕西南路,一大会址·黄陂南路,人民广场,新闸路,汉中路,上海火车站,中山北路,延长路,上海马戏城,汶水路,彭浦新村,共康路,通河新村,呼兰路,共富新村,宝安公路,友谊西路,富锦路,蟠祥路·国家会计学院,国家会展中心,虹桥火车站,虹桥2号航站楼,淞虹路,北新泾,威宁路,娄山关路,中山公园,江苏路,静安寺,南京西路,南京东路,陆家嘴,浦东南路,世纪大道,上海科技馆,世纪公园,龙阳路,张江高科,金科路,广兰路,唐镇,创新中路,华夏东路,川沙,凌空路,远东大道,海天三路,浦东1号2号航站楼,石龙路,龙漕路,漕溪路,宜山路,虹桥路,延安西路,金沙江路,曹杨路,镇坪路,中潭路,宝山路,东宝兴路,虹口足球场,赤峰路,大柏树,江湾镇,殷高西路,长江南路,淞发路,张华浜,淞滨路,水产路,宝杨路,友谊路,铁力路,江杨北路,上海体育场,东安路,大木桥路,鲁班路,西藏南路,南浦大桥,塘桥,蓝村路,向城路,浦东大道,杨树浦路,大连路,临平路,海伦路,春申路,银都路,颛桥,北桥,剑川路,东川路,金平路,华宁路,文井路,闵行开发区,江川路,西渡,萧塘,奉浦大道,环城东路,望园路,金海湖,奉贤新城,港城路,外高桥保税区北,航津路,外高桥保税区南,洲海路,五洲大道,东靖路,巨峰路,五莲路,博兴路,金桥路,云山路,德平路,北洋泾路,民生路,源深体育中心,浦电路,上海儿童医学中心,临沂新村,高科西路,东明路,高青路,华夏西路,上南路,灵岩南路,东方体育中心,花木路,芳华路,锦绣路,杨高南路,云台路,耀华路,长清路,后滩,龙华中路,肇嘉浜路,昌平路,长寿路,岚皋路,新村路,大华三路,行知路,大场镇,场中路,上大路,南陈路,上海大学,祁华路,顾村公园,刘行,潘广路,罗南新村,美兰湖,沈杜公路,联航路,江月路,浦江镇,芦恒路,凌兆新村,杨思,成山路,中华艺术宫,陆家浜路,老西门,大世界,曲阜路,中兴路,西藏北路,曲阳路,四平路,鞍山新村,江浦路,黄兴路,延吉中路,黄兴公园,翔殷路,嫩江路,市光路,曹路,民雷路,顾唐路,金海路,金吉路,金桥,台儿庄路,蓝天路,芳甸路,杨高中路,商城路,小南门,马当路,打浦桥,嘉善路,桂林路,漕河泾开发区,合川路,星中路,七宝,中春路,九亭,泗泾,佘山,洞泾,松江大学城,松江新城,松江体育中心,醉白池,上海松江站,基隆路,高桥,高桥西,双江路,国帆路,新江湾城,殷高东路,三门路,江湾体育场,五角场,国权路,同济大学,邮电新村,四川北路,天潼路,豫园,一大会址·新天地,上海图书馆,交通大学,宋园路,伊犁路,水城路,龙溪路,龙柏新村,紫藤路,航中路,上海动物园,虹桥1号航站楼,迪士尼,康新公路,秀沿路,罗山路,御桥,康恒路,浦三路,三林东,三林,龙耀路,云锦路,龙华,上海游泳馆,隆德路,枫桥路,真如,上海西站,李子园,祁连山路,武威路,桃浦新村,南翔,陈翔公路,马陆,嘉定新城,白银路,嘉定西,嘉定北,上海赛车场,昌吉东路,上海汽车城,安亭,兆丰路,光明路,花桥,七莘路,虹莘路,顾戴路,东兰路,虹梅路,虹漕路,桂林公园,国际客运中心,提篮桥,江浦公园,宁国路,隆昌路,爱国路,复兴岛,东陆路,杨高北路,金京路,申江路,金运路,金沙江西路,丰庄,祁连山南路,真北路,大渡河路,武宁路,江宁路,自然博物馆,淮海中路,世博会博物馆,世博大道,华鹏路,下南路,北蔡,陈春路,莲溪路,华夏中路,中科路,学林路,张江路,封浜,乐秀路,临洮路,嘉怡路,定边路,真新新村,真光路,铜川路,中宁路,武定路,源深路,昌邑路,歇浦路,黄杨路,云顺路,浦东足球场,金粤路,桂桥路,锦秋路,丰翔路,南大路,祁安路,古浪路,武威东路,梅岭北路,长风公园,红宝石路,姚虹路,吴中路,华东理工大学,罗秀路,朱梅路,景洪路,虹梅南路,景西路,曙建路,双柏路,元江路,永德路,紫竹高新区,周浦东,鹤沙航城,航头东,新场,野生动物园,惠南,惠南东,书院,临港大道,滴水湖,蟠龙路,徐盈路,徐泾北城,嘉松中路,赵巷,汇金路,青浦新城,漕盈路,淀山湖大道,朱家角,东方绿舟,西岑,殷高路,上海财经大学,复旦大学,抚顺路,平凉路,丹阳路,迎春路,芳芯路,北中路,康桥,周浦,繁荣路,沈梅路,鹤涛路,下沙,航头,三鲁公路,闵瑞路,浦航路,东城一路,汇臻路,三林南,康桥东,上海国际旅游度假区,春申,新桥,车墩,叶榭,亭林,金山园区,金山卫
鞍山新村,15,16,16,15,14,13,12,11,10,9,8,8,7,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,6,7,8,9,10,11,12,13,14,15,14,13,12,11,10,14,13,13,12,11,11,9,8,7,6,4,4,3,4,5,6,7,7,8,9,10,11,12,13,14,15,12,11,10,11,10,10,9,8,7,5,4,3,4,3,16,17,18,19,20,21,22,23,24,25,22,23,24,25,26,27,28,29,13,14,13,12,11,10,9,8,9,9,8,7,8,7,6,7,7,9,10,11,12,13,14,15,16,15,10,10,11,12,12,12,13,12,11,10,9,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,21,20,19,18,17,16,14,13,11,9,8,8,6,5,4,2,1,0,1,2,3,4,5,6,7,15,14,13,12,11,10,9,8,8,7,7,8,10,10,9,13,14,15,16,16,15,16,17,18,19,20,21,22,23,24,14,12,11,10,9,8,7,6,5,4,3,2,2,4,5,7,9,9,10,12,13,14,15,16,17,18,16,16,14,13,12,11,12,13,14,15,16,14,13,12,12,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,20,21,22,23,24,25,26,20,19,18,17,16,15,14,5,4,2,3,4,5,6,7,9,10,11,15,14,13,12,11,10,9,7,7,8,11,12,13,14,13,12,11,10,11,12,13,18,17,16,15,14,13,12,11,9,9,6,5,6,9,10,11,12,13,17,16,15,14,13,12,11,11,12,13,14,15,16,15,14,15,16,17,18,19,20,21,12,13,14,15,16,17,18,19,20,21,18,19,20,21,22,23,24,25,26,27,28,29,6,5,4,2,3,4,8,10,11,13,14,15,16,17,18,19,22,23,24,25,26,13,12,11,16,17,18,19,20,21,22
江浦路,16,17,17,16,15,14,13,12,11,10,9,8,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,18,17,16,15,15,14,13,12,11,10,9,8,6,6,5,5,6,7,8,9,10,11,12,13,14,13,12,11,10,9,15,14,14,13,12,12,10,9,8,7,5,5,4,5,6,7,7,6,7,8,9,10,11,12,13,14,13,12,11,10,9,9,8,7,6,4,3,2,3,4,17,18,19,20,21,22,23,24,25,26,23,24,25,26,27,28,29,30,12,13,12,11,10,9,8,7,8,8,7,6,7,6,5,6,6,8,9,10,11,12,13,14,15,14,9,9,10,11,11,11,12,13,12,11,10,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,20,19,18,17,16,15,13,12,10,8,8,8,6,6,5,3,2,1,0,1,2,3,4,5,6,14,13,12,11,10,9,8,7,7,6,6,7,9,10,10,14,15,16,16,15,14,15,16,17,18,19,20,21,22,23,13,11,10,9,8,7,6,5,4,3,2,3,3,5,5,7,9,10,11,13,14,15,16,17,18,19,17,16,13,12,11,10,11,12,13,14,15,15,14,13,13,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,21,22,23,24,25,26,27,21,20,19,18,17,16,15,4,3,1,2,3,4,5,6,8,9,10,16,15,14,13,12,11,10,8,8,9,10,11,12,13,12,11,10,9,10,11,12,19,18,17,16,15,14,13,12,10,10,5,4,5,8,9,10,11,12,18,17,16,15,14,13,12,12,13,14,15,16,15,14,13,14,15,16,17,18,19,20,11,12,13,14,15,16,17,18,19,20,18,19,20,21,22,23,24,25,26,27,28,29,5,4,3,1,2,3,7,9,10,12,13,14,15,16,17,18,21,22,23,24,25,12,11,10,17,18,19,20,21,22,23
黄兴路,17,18,18,17,16,15,14,13,12,11,10,9,8,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,19,18,17,16,16,15,14,13,12,11,10,9,7,7,6,6,7,8,9,10,11,12,13,14,15,14,13,12,11,10,16,15,15,14,13,13,11,10,9,8,6,6,5,6,7,8,8,7,8,9,10,11,12,13,14,15,14,13,12,11,10,10,9,8,7,5,4,3,4,5,18,19,20,21,22,23,24,25,26,27,24,25,26,27,28,29,30,31,13,14,13,12,11,10,9,8,9,9,8,7,8,7,6,7,7,9,10,11,12,13,14,15,16,15,10,10,11,12,12,12,13,14,13,12,11,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,21,20,19,18,17,16,14,13,11,9,9,9,7,7,6,4,3,2,1,0,1,2,3,4,5,15,14,13,12,11,10,9,8,8,7,7,8,10,11,11,15,16,17,17,16,15,16,17,18,19,20,21,22,23,24,14,12,11,10,9,8,7,6,5,4,3,4,4,6,6,8,10,11,12,14,15,16,17,18,19,20,18,17,14,13,12,11,12,13,14,15,16,16,15,14,14,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,22,23,24,25,26,27,28,22,21,20,19,18,17,16,5,4,2,3,4,5,6,7,9,10,11,17,16,15,14,13,12,11,9,9,10,11,12,13,14,13,12,11,10,11,12,13,20,19,18,17,16,15,14,13,11,11,6,5,6,9,10,11,12,13,19,18,17,16,15,14,13,13,14,15,16,17,16,15,14,15,16,17,18,19,20,21,12,13,14,15,16,17,18,19,20,21,19,20,21,22,23,24,25,26,27,28,29,30,6,5,4,2,3,4,8,10,11,13,14,15,16,17,18,19,22,23,24,25,26,13,12,11,18,19,20,21,22,23,24
延吉中路,18,19,19,18,17,16,15,14,13,12,11,10,9,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,20,19,18,17,17,16,15,14,13,12,11,10,8,8,7,7,8,9,10,11,12,13,14,15,16,15,14,13,12,11,17,16,16,15,14,14,12,11,10,9,7,7,6,7,8,9,9,8,9,10,11,12,13,14,15,16,15,14,13,12,11,11,10,9,8,6,5,4,5,6,19,20,21,22,23,24,25,26,27,28,25,26,27,28,29,30,31,32,14,15,14,13,12,11,10,9,10,10,9,8,9,8,7,8,8,10,11,12,13,14,15,16,17,16,11,11,12,13,13,13,14,15,14,13,12,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,22,21,20,19,18,17,15,14,12,10,10,10,8,8,7,5,4,3,2,1,0,1,2,3,4,16,15,14,13,12,11,10,9,9,8,8,9,11,12,12,16,17,18,18,17,16,17,18,19,20,21,22,23,24,25,15,13,12,11,10,9,8,7,6,5,4,5,5,7,7,9,11,12,13,15,16,17,18,19,20,21,19,18,15,14,13,12,13,14,15,16,17,17,16,15,15,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,23,24,25,26,27,28,29,23,22,21,20,19,18,17,6,5,3,4,5,6,7,8,10,11,12,18,17,16,15,14,13,12,10,10,11,12,13,14,15,14,13,12,11,12,13,14,21,20,19,18,17,16,15,14,12,12,7,6,7,10,11,12,13,14,20,19,18,17,16,15,14,14,15,16,17,18,17,16,15,16,17,18,19,20,21,22,13,14,15,16,17,18,19,20,21,22,20,21,22,23,24,25,26,27,28,29,30,31,7,6,5,3,4,5,9,11,12,14,15,16,17,18,19,20,23,24,25,26,27,14,13,12,19,20,21,22,23,24,25
黄兴公园,19,20,20,19,18,17,16,15,14,13,12,11,10,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,21,20,19,18,18,17,16,15,14,13,12,11,9,9,8,8,9,10,11,12,13,14,15,16,17,16,15,14,13,12,18,17,17,16,15,15,13,12,11,10,8,8,7,8,9,10,10,9,10,11,12,13,14,15,16,17,16,15,14,13,12,12,11,10,9,7,6,5,6,7,20,21,22,23,24,25,26,27,28,29,26,27,28,29,30,31,32,33,15,16,15,14,13,12,11,10,11,11,10,9,10,9,8,9,9,11,12,13,14,15,16,17,18,17,12,12,13,14,14,14,15,16,15,14,13,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,23,22,21,20,19,18,16,15,13,11,11,11,9,9,8,6,5,4,3,2,1,0,1,2,3,17,16,15,14,13,12,11,10,10,9,9,10,12,13,13,17,18,19,19,18,17,18,19,20,21,22,23,24,25,26,16,14,13,12,11,10,9,8,7,6,5,6,6,8,8,10,12,13,14,16,17,18,19,20,21,22,20,19,16,15,14,13,14,15,16,17,18,18,17,16,16,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,24,25,26,27,28,29,30,24,23,22,21,20,19,18,7,6,4,5,6,7,8,9,11,12,13,19,18,17,16,15,14,13,11,11,12,13,14,15,16,15,14,13,12,13,14,15,22,21,20,19,18,17,16,15,13,13,8,7,8,11,12,13,14,15,21,20,19,18,17,16,15,15,16,17,18,19,18,17,16,17,18,19,20,21,22,23,14,15,16,17,18,19,20,21,22,23,21,22,23,24,25,26,27,28,29,30,31,32,8,7,6,4,5,6,10,12,13,15,16,17,18,19,20,21,24,25,26,27,28,15,14,13,20,21,22,23,24,25,26
翔殷路,20,21,21,20,19,18,17,16,15,14,13,12,11,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,22,21,20,19,19,18,17,16,15,14,13,12,10,10,9,9,10,11,12,13,14,15,16,17,18,17,16,15,14,13,19,18,18,17,16,16,14,13,12,11,9,9,8,9,10,11,11,10,11,12,13,14,15,16,17,18,17,16,15,14,13,13,12,11,10,8,7,6,7,8,21,22,23,24,25,26,27,28,29,30,27,28,29,30,31,32,33,34,16,17,16,15,14,13,12,11,12,12,11,10,11,10,9,10,10,12,13,14,15,16,17,18,19,18,13,13,14,15,15,15,16,17,16,15,14,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,24,23,22,21,20,19,17,16,14,12,12,12,10,10,9,7,6,5,4,3,2,1,0,1,2,18,17,16,15,14,13,12,11,11,10,10,11,13,14,14,18,19,20,20,19,18,19,20,21,22,23,24,25,26,27,17,15,14,13,12,11,10,9,8,7,6,7,7,9,9,11,13,14,15,17,18,19,20,21,22,23,21,20,17,16,15,14,15,16,17,18,19,19,18,17,17,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,25,26,27,28,29,30,31,25,24,23,22,21,20,19,8,7,5,6,7,8,9,10,12,13,14,20,19,18,17,16,15,14,12,12,13,14,15,16,17,16,15,14,13,14,15,16,23,22,21,20,19,18,17,16,14,14,9,8,9,12,13,14,15,16,22,21,20,19,18,17,16,16,17,18,19,20,19,18,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,22,23,24,25,26,27,28,29,30,31,32,33,9,8,7,5,6,7,11,13,14,16,17,18,19,20,21,22,25,26,27,28,29,16,15,14,21,22,23,24,25,26,27
嫩江路,21,22,22,21,20,19,18,17,16,15,14,13,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,23,22,21,20,20,19,18,17,16,15,14,13,11,11,10,10,11,12,13,14,15,16,17,18,19,18,17,16,15,14,20,19,19,18,17,17,15,14,13,12,10,10,9,10,11,12,12,11,12,13,14,15,16,17,18,19,18,17,16,15,14,14,13,12,11,9,8,7,8,9,22,23,24,25,26,27,28,29,30,31,28,29,30,31,32,33,34,35,17,18,17,16,15,14,13,12,13,13,12,11,12,11,10,11,11,13,14,15,16,17,18,19,20,19,14,14,15,16,16,16,17,18,17,16,15,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,25,24,23,22,21,20,18,17,15,13,13,13,11,11,10,8,7,6,5,4,3,2,1,0,1,19,18,17,16,15,14,13,12,12,11,11,12,14,15,15,19,20,21,21,20,19,20,21,22,23,24,25,26,27,28,18,16,15,14,13,12,11,10,9,8,7,8,8,10,10,12,14,15,16,18,19,20,21,22,23,24,22,21,18,17,16,15,16,17,18,19,20,20,19,18,18,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,26,27,28,29,30,31,32,26,25,24,23,22,21,20,9,8,6,7,8,9,10,11,13,14,15,21,20,19,18,17,16,15,13,13,14,15,16,17,18,17,16,15,14,15,16,17,24,23,22,21,20,19,18,17,15,15,10,9,10,13,14,15,16,17,23,22,21,20,19,18,17,17,18,19,20,21,20,19,18,19,20,21,22,23,24,25,16,17,18,19,20,21,22,23,24,25,23,24,25,26,27,28,29,30,31,32,33,34,10,9,8,6,7,8,12,14,15,17,18,19,20,21,22,23,26,27,28,29,30,17,16,15,22,23,24,25,26,27,28
市光路,22,23,23,22,21,20,19,18,17,16,15,14,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,24,23,22,21,21,20,19,18,17,16,15,14,12,12,11,11,12,13,14,15,16,17,18,19,20,19,18,17,16,15,21,20,20,19,18,18,16,15,14,13,11,11,10,11,12,13,13,12,13,14,15,16,17,18,19,20,19,18,17,16,15,15,14,13,12,10,9,8,9,10,23,24,25,26,27,28,29,30,31,32,29,30,31,32,33,34,35,36,18,19,18,17,16,15,14,13,14,14,13,12,13,12,11,12,12,14,15,16,17,18,19,20,21,20,15,15,16,17,17,17,18,19,18,17,16,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,26,25,24,23,22,21,19,18,16,14,14,14,12,12,11,9,8,7,6,5,4,3,2,1,0,20,19,18,17,16,15,14,13,13,12,12,13,15,16,16,20,21,22,22,21,20,21,22,23,24,25,26,27,28,29,19,17,16,15,14,13,12,11,10,9,8,9,9,11,11,13,15,16,17,19,20,21,22,23,24,25,23,22,19,18,17,16,17,18,19,20,21,21,20,19,19,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,27,28,29,30,31,32,33,27,26,25,24,23,22,21,10,9,7,8,9,10,11,12,14,15,16,22,21,20,19,18,17,16,14,14,15,16,17,18,19,18,17,16,15,16,17,18,25,24,23,22,21,20,19,18,16,16,11,10,11,14,15,16,17,18,24,23,22,21,20,19,18,18,19,20,21,22,21,20,19,20,21,22,23,24,25,26,17,18,19,20,21,22,23,24,25,26,24,25,26,27,28,29,30,31,32,33,34,35,11,10,9,7,8,9,13,15,16,18,19,20,21,22,23,24,27,28,29,30,31,18,17,16,23,24,25,26,27,28,29
曹路,21,22,22,21,20,20,19,18,18,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,21,20,19,18,19,20,20,19,18,17,16,15,13,12,11,10,11,12,11,12,13,14,15,16,17,16,15,14,13,12,20,19,20,19,19,19,19,19,19,18,16,17,18,19,20,21,21,20,21,22,23,24,25,26,27,28,18,17,16,15,14,14,13,12,11,11,12,13,14,15,22,23,24,25,26,27,28,29,30,31,28,29,30,31,32,33,34,35,14,13,12,11,10,9,8,7,8,9,9,8,9,10,10,11,11,13,14,15,16,17,18,19,20,19,12,12,13,14,16,16,17,18,17,17,17,18,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,25,24,23,22,21,20,18,17,15,13,14,14,15,16,17,17,16,15,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,11,12,14,15,16,20,21,20,19,18,17,18,19,20,21,22,23,24,25,26,15,15,16,17,18,19,20,19,18,17,16,17,16,15,14,13,15,17,18,20,21,22,21,22,23,24,20,19,16,15,14,13,14,15,16,17,18,20,19,18,19,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,31,32,33,34,35,36,37,27,26,25,24,23,22,21,15,14,13,12,11,10,9,8,6,5,4,25,24,23,22,21,20,18,17,16,16,15,16,17,16,15,14,13,12,13,14,15,29,28,27,26,25,24,23,22,20,17,11,10,9,8,9,10,11,12,28,27,26,25,24,23,21,20,20,21,21,19,18,17,16,17,18,19,20,21,22,23,14,15,16,17,18,19,20,21,22,23,21,22,23,24,25,26,27,28,29,30,31,32,19,18,17,15,12,11,10,12,13,15,16,17,18,19,20,21,26,27,28,29,30,15,14,13,22,23,24,25,26,27,28
民雷路,20,21,21,20,19,19,18,17,17,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,20,19,18,17,18,19,19,18,17,16,15,14,12,11,10,9,10,11,10,11,12,13,14,15,16,15,14,13,12,11,19,18,19,18,18,18,18,18,18,17,15,16,17,18,19,20,20,19,20,21,22,23,24,25,26,27,17,16,15,14,13,13,12,11,10,10,11,12,13,14,21,22,23,24,25,26,27,28,29,30,27,28,29,30,31,32,33,34,13,12,11,10,9,8,7,6,7,8,8,7,8,9,9,10,10,12,13,14,15,16,17,18,19,18,11,11,12,13,15,15,16,17,16,16,16,17,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,24,23,22,21,20,19,17,16,14,12,13,13,14,15,16,16,15,14,13,14,15,16,17,18,19,1,0,1,2,3,4,5,6,7,8,10,11,13,14,15,19,20,19,18,17,16,17,18,19,20,21,22,23,24,25,14,14,15,16,17,18,19,18,17,16,15,16,15,14,13,12,14,16,17,19,20,21,20,21,22,23,19,18,15,14,13,12,13,14,15,16,17,19,18,17,18,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,30,31,32,33,34,35,36,26,25,24,23,22,21,20,14,13,12,11,10,9,8,7,5,4,3,24,23,22,21,20,19,17,16,15,15,14,15,16,15,14,13,12,11,12,13,14,28,27,26,25,24,23,22,21,19,16,10,9,8,7,8,9,10,11,27,26,25,24,23,22,20,19,19,20,20,18,17,16,15,16,17,18,19,20,21,22,13,14,15,16,17,18,19,20,21,22,20,21,22,23,24,25,26,27,28,29,30,31,18,17,16,14,11,10,9,11,12,14,15,16,17,18,19,20,25,26,27,28,29,14,13,12,21,22,23,24,25,26,27
顾唐路,19,20,20,19,18,18,17,16,16,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,19,18,17,16,17,18,18,17,16,15,14,13,11,10,9,8,9,10,9,10,11,12,13,14,15,14,13,12,11,10,18,17,18,17,17,17,17,17,17,16,14,15,16,17,18,19,19,18,19,20,21,22,23,24,25,26,16,15,14,13,12,12,11,10,9,9,10,11,12,13,20,21,22,23,24,25,26,27,28,29,26,27,28,29,30,31,32,33,12,11,10,9,8,7,6,5,6,7,7,6,7,8,8,9,9,11,12,13,14,15,16,17,18,17,10,10,11,12,14,14,15,16,15,15,15,16,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,23,22,21,20,19,18,16,15,13,11,12,12,13,14,15,15,14,13,12,13,14,15,16,17,18,2,1,0,1,2,3,4,5,6,7,9,10,12,13,14,18,19,18,17,16,15,16,17,18,19,20,21,22,23,24,13,13,14,15,16,17,18,17,16,15,14,15,14,13,12,11,13,15,16,18,19,20,19,20,21,22,18,17,14,13,12,11,12,13,14,15,16,18,17,16,17,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,29,30,31,32,33,34,35,25,24,23,22,21,20,19,13,12,11,10,9,8,7,6,4,3,2,23,22,21,20,19,18,16,15,14,14,13,14,15,14,13,12,11,10,11,12,13,27,26,25,24,23,22,21,20,18,15,9,8,7,6,7,8,9,10,26,25,24,23,22,21,19,18,18,19,19,17,16,15,14,15,16,17,18,19,20,21,12,13,14,15,16,17,18,19,20,21,19,20,21,22,23,24,25,26,27,28,29,30,17,16,15,13,10,9,8,10,11,13,14,15,16,17,18,19,24,25,26,27,28,13,12,11,20,21,22,23,24,25,26
金海路,18,19,19,18,17,17,16,15,15,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,18,17,16,15,16,17,17,16,15,14,13,12,10,9,8,7,8,9,8,9,10,11,12,13,14,13,12,11,10,9,17,16,17,16,16,16,16,16,16,15,13,14,15,16,17,18,18,17,18,19,20,21,22,23,24,25,15,14,13,12,11,11,10,9,8,8,9,10,11,12,19,20,21,22,23,24,25,26,27,28,25,26,27,28,29,30,31,32,11,10,9,8,7,6,5,4,5,6,6,5,6,7,7,8,8,10,11,12,13,14,15,16,17,16,9,9,10,11,13,13,14,15,14,14,14,15,17,18,19,20,21,22,23,24,25,26,26,27,28,29,30,22,21,20,19,18,17,15,14,12,10,11,11,12,13,14,14,13,12,11,12,13,14,15,16,17,3,2,1,0,1,2,3,4,5,6,8,9,11,12,13,17,18,17,16,15,14,15,16,17,18,19,20,21,22,23,12,12,13,14,15,16,17,16,15,14,13,14,13,12,11,10,12,14,15,17,18,19,18,19,20,21,17,16,13,12,11,10,11,12,13,14,15,17,16,15,16,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,28,29,30,31,32,33,34,24,23,22,21,20,19,18,12,11,10,9,8,7,6,5,3,2,1,22,21,20,19,18,17,15,14,13,13,12,13,14,13,12,11,10,9,10,11,12,26,25,24,23,22,21,20,19,17,14,8,7,6,5,6,7,8,9,25,24,23,22,21,20,18,17,17,18,18,16,15,14,13,14,15,16,17,18,19,20,11,12,13,14,15,16,17,18,19,20,18,19,20,21,22,23,24,25,26,27,28,29,16,15,14,12,9,8,7,9,10,12,13,14,15,16,17,18,23,24,25,26,27,12,11,10,19,20,21,22,23,24,25
金吉路,17,18,18,17,16,16,15,14,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,17,16,15,14,15,16,16,15,14,13,12,11,9,8,7,6,7,8,7,8,9,10,11,12,13,12,11,10,9,8,16,15,16,15,15,15,15,15,15,14,12,13,14,15,16,17,17,16,17,18,19,20,21,22,23,24,14,13,12,11,10,10,9,8,7,7,8,9,10,11,18,19,20,21,22,23,24,25,26,27,24,25,26,27,28,29,30,31,12,11,10,9,8,7,6,5,6,6,5,4,5,6,6,7,7,9,10,11,12,13,14,15,16,15,8,8,9,10,12,12,13,14,13,13,13,14,16,17,18,19,20,21,22,23,24,25,25,26,27,28,29,21,20,19,18,17,16,14,13,11,9,10,10,11,12,13,13,12,11,10,11,12,13,14,15,16,4,3,2,1,0,1,2,3,4,5,7,8,10,11,12,16,17,16,15,14,13,14,15,16,17,18,19,20,21,22,13,13,14,15,16,17,16,15,14,13,12,13,12,11,10,9,11,13,14,16,17,18,17,18,19,20,16,15,12,11,10,9,10,11,12,13,14,16,15,14,15,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,27,28,29,30,31,32,33,23,22,21,20,19,18,17,11,10,9,10,9,8,7,6,4,3,2,21,20,19,18,17,16,14,13,12,12,11,12,13,12,11,10,9,8,9,10,11,25,24,23,22,21,20,19,18,16,13,7,6,5,4,5,6,7,8,24,23,22,21,20,19,17,16,16,17,17,15,14,13,12,13,14,15,16,17,18,19,10,11,12,13,14,15,16,17,18,19,17,18,19,20,21,22,23,24,25,26,27,28,15,14,13,11,8,7,6,8,9,11,12,13,14,15,16,17,22,23,24,25,26,11,10,9,18,19,20,21,22,23,24
